city_name,state,zip_code
Adelanto,CA,92301
Agoura Hills,CA,91301
Agoura Hills,CA,91376
Agoura Hills,CA,91377
Alameda,CA,94501
Alameda,CA,94502
Albany,CA,94706
Alhambra,CA,91801
Alhambra,CA,91802
Alhambra,CA,91803
American Canyon,CA,94503
Anaheim,CA,92801
Anaheim,CA,92802
Anaheim,CA,92803
Anaheim,CA,92804
Anaheim,CA,92805
Anaheim,CA,92806
Anaheim,CA,92807
Anaheim,CA,92808
Anaheim,CA,92809
Anaheim,CA,92812
Anaheim,CA,92814
Anaheim,CA,92815
Anaheim,CA,92816
Anaheim,CA,92817
Antioch,CA,94509
Antioch,CA,94531
Apple Valley,CA,92307
Apple Valley,CA,92308
Arcadia,CA,91006
Arcadia,CA,91007
Arcadia,CA,91024
Arcadia,CA,91066
Arcadia,CA,91077
Artesia,CA,90701
Artesia,CA,90702
Artesia,CA,90703
Avalon,CA,90704
Azusa,CA,91702
Baldwin Park,CA,91706
Banning,CA,92220
Barstow,CA,92311
Barstow,CA,92312
Barstow,CA,92332
Barstow,CA,92347
Beaumont,CA,92223
Bell Gardens,CA,90201
Bell Gardens,CA,90202
Bell Gardens,CA,90270
Bellflower,CA,90706
Bellflower,CA,90707
Belmont,CA,94002
Belvedere Tiburon,CA,94920
Benicia,CA,94510
Berkeley,CA,94701
Berkeley,CA,94702
Berkeley,CA,94703
Berkeley,CA,94704
Berkeley,CA,94705
Berkeley,CA,94706
Berkeley,CA,94707
Berkeley,CA,94708
Berkeley,CA,94709
Berkeley,CA,94710
Berkeley,CA,94712
Beverly Hills,CA,90209
Beverly Hills,CA,90210
Beverly Hills,CA,90211
Beverly Hills,CA,90212
Beverly Hills,CA,90213
Big Bear Lake,CA,92315
Blythe,CA,92225
Blythe,CA,92226
Blythe,CA,92280
Brawley,CA,92227
Brea,CA,92821
Brea,CA,92822
Brea,CA,92823
Brentwood,CA,94513
Brisbane,CA,94005
Buena Park,CA,90620
Buena Park,CA,90621
Buena Park,CA,90622
Buena Park,CA,90623
Burbank,CA,91352
Burbank,CA,91501
Burbank,CA,91502
Burbank,CA,91503
Burbank,CA,91504
Burbank,CA,91505
Burbank,CA,91506
Burbank,CA,91507
Burbank,CA,91508
Burbank,CA,91510
Burlingame,CA,94010
Burlingame,CA,94011
Burlingame,CA,94125
Burlingame,CA,94128
Calabasas,CA,91372
Calexico,CA,92231
Calexico,CA,92232
Calimesa,CA,92320
Calipatria,CA,92233
Calipatria,CA,92257
Calistoga,CA,94515
Camarillo,CA,93010
Camarillo,CA,93011
Camarillo,CA,93012
Camarillo,CA,93066
Campbell,CA,95008
Campbell,CA,95009
Campbell,CA,95011
Campbell,CA,95032
Carson,CA,90745
Carson,CA,90746
Carson,CA,90749
Cathedral City,CA,92234
Cathedral City,CA,92235
Cerritos,CA,90703
Chino,CA,91708
Chino,CA,91710
Chino Hills,CA,91709
Claremont,CA,91711
Clayton,CA,94517
Cloverdale,CA,95425
Coachella,CA,92236
Coachella,CA,92274
Colton,CA,92313
Colton,CA,92324
Commerce,CA,90040
Commerce,CA,90091
Compton,CA,90220
Compton,CA,90221
Compton,CA,90222
Compton,CA,90223
Compton,CA,90224
Concord,CA,94518
Concord,CA,94519
Concord,CA,94520
Concord,CA,94521
Concord,CA,94522
Concord,CA,94523
Concord,CA,94524
Corona,CA,92877
Corona,CA,92878
Corona,CA,92879
Corona,CA,92881
Corona,CA,92882
Corona,CA,92883
Costa Mesa,CA,92626
Costa Mesa,CA,92627
Costa Mesa,CA,92628
Cotati,CA,94931
Covina,CA,91722
Covina,CA,91723
Covina,CA,91724
Cudahy,CA,90201
Culver City,CA,90230
Culver City,CA,90231
Culver City,CA,90232
Cupertino,CA,95014
Cupertino,CA,95015
Cypress,CA,90630
Daly City,CA,94014
Daly City,CA,94015
Daly City,CA,94016
Daly City,CA,94017
Dana Point,CA,92624
Dana Point,CA,92629
Danville,CA,94506
Danville,CA,94526
Desert Hot Springs,CA,92240
Desert Hot Springs,CA,92241
Diamond Bar,CA,91765
Dixon,CA,95620
Downey,CA,90239
Downey,CA,90240
Downey,CA,90241
Downey,CA,90242
Duarte,CA,91009
Dublin,CA,94568
East Palo Alto,CA,94085
East Palo Alto,CA,94301
East Palo Alto,CA,94303
East Palo Alto,CA,94304
East Palo Alto,CA,94305
East Palo Alto,CA,94306
El Centro,CA,92243
El Centro,CA,92244
El Cerrito,CA,94530
El Monte,CA,90660
El Monte,CA,91731
El Monte,CA,91732
El Monte,CA,91733
El Monte,CA,91734
El Segundo,CA,90245
El Segundo,CA,90266
Emeryville,CA,94608
Emeryville,CA,94662
Fairfax,CA,94978
Fairfield,CA,94533
Fairfield,CA,94534
Fairfield,CA,94535
Fillmore,CA,93015
Fillmore,CA,93016
Fontana,CA,92331
Fontana,CA,92334
Fontana,CA,92335
Fontana,CA,92336
Fontana,CA,92337
Foster City,CA,94404
Fountain Valley,CA,92708
Fountain Valley,CA,92728
Fremont,CA,94536
Fremont,CA,94537
Fremont,CA,94538
Fremont,CA,94539
Fremont,CA,94555
Fullerton,CA,92831
Fullerton,CA,92832
Fullerton,CA,92833
Fullerton,CA,92834
Fullerton,CA,92835
Fullerton,CA,92836
Fullerton,CA,92837
Fullerton,CA,92838
Garden Grove,CA,92840
Garden Grove,CA,92841
Garden Grove,CA,92842
Garden Grove,CA,92843
Garden Grove,CA,92844
Garden Grove,CA,92845
Garden Grove,CA,92846
Gardena,CA,90247
Gardena,CA,90248
Gardena,CA,90249
Gilroy,CA,95020
Gilroy,CA,95021
Glendale,CA,91201
Glendale,CA,91202
Glendale,CA,91203
Glendale,CA,91204
Glendale,CA,91205
Glendale,CA,91206
Glendale,CA,91207
Glendale,CA,91208
Glendale,CA,91209
Glendale,CA,91210
Glendale,CA,91221
Glendale,CA,91222
Glendale,CA,91225
Glendale,CA,91226
Glendora,CA,91740
Glendora,CA,91741
Half Moon Bay,CA,94019
Hawthorne,CA,90250
Hawthorne,CA,90251
Hayward,CA,94540
Hayward,CA,94541
Hayward,CA,94542
Hayward,CA,94543
Hayward,CA,94544
Hayward,CA,94545
Hayward,CA,94557
Healdsburg,CA,95448
Hemet,CA,92543
Hemet,CA,92544
Hemet,CA,92545
Hemet,CA,92546
Hercules,CA,94547
Hermosa Beach,CA,90254
Hesperia,CA,92340
Hesperia,CA,92344
Hesperia,CA,92345
Highland,CA,92346
Holtville,CA,92250
Huntington Beach,CA,92605
Huntington Beach,CA,92615
Huntington Beach,CA,92646
Huntington Beach,CA,92647
Huntington Beach,CA,92648
Huntington Beach,CA,92649
Huntington Park,CA,90255
Imperial,CA,92251
Indio,CA,92201
Indio,CA,92202
Industry,CA,91715
Industry,CA,91716
Inglewood,CA,90301
Inglewood,CA,90302
Inglewood,CA,90303
Inglewood,CA,90304
Inglewood,CA,90305
Inglewood,CA,90306
Inglewood,CA,90307
Inglewood,CA,90308
